date,municipality,municipality_type,psgc_code,latitude,longitude,climate_zone,supply_system,grid_connected,planned_grid_connection_year,population,households_estimated,electrification_rate_est,residential_customer_count,nonresidential_customer_count,customer_count,economic_load_index,urban_intensity_index,consumption_kwh,peak_demand_kw,available_capacity_kw,capacity_utilization_pct,outage_minutes,temperature_mean_c,temperature_min_c,temperature_max_c,humidity_mean_pct,rainfall_mm,heat_index_mean_c,wind_speed_mean_kph,cloud_cover_mean_pct,is_holiday,holiday_name,holiday_type,is_weekend,day_of_week,month,quarter,year,is_special_event,special_event_name,record_status,record_notes,data_split,energy_anchor_type,data_classification,municipality_population_share_pct,consumption_lag_1,consumption_lag_2,consumption_lag_7,consumption_lag_14,consumption_lag_30,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,temperature_lag_1,rainfall_lag_1,consumption_vs_30d_pct,demand_level
2020-01-11,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68883,16857,0.8203,13828.0,691.0,14519.0,0.88,0.72,31490.93,1933.69,4571.68,42.3,0,27.66,22.59,31.65,74.94,0.0,30.62,11.72,74.55,0,,,1,Saturday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0714,31744.81,32343.28,32687.0,,,32739.671429,,,1802.74818,27.14,0.0,,NORMAL
2020-01-12,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68884,16857,0.8204,13829.0,691.0,14520.0,0.88,0.72,29094.76,1779.49,4530.41,39.28,0,27.95,22.94,31.88,83.47,20.55,32.5,8.42,79.89,0,,,1,Sunday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0714,31490.93,31744.81,29614.28,,,32568.804286,,,1864.207509,27.66,0.0,,NORMAL
2020-01-13,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68884,16857,0.8204,13829.0,691.0,14520.0,0.88,0.72,34001.42,2084.77,4525.01,46.07,0,28.38,23.02,32.59,84.49,13.42,33.89,11.53,62.67,0,,,0,Monday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0714,29094.76,31490.93,33762.37,,,32494.587143,,,2006.35783,27.95,20.55,,NORMAL
2020-01-14,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68885,16858,0.8204,13831.0,692.0,14523.0,0.88,0.72,32694.81,2008.41,4548.59,44.15,0,27.33,22.38,31.22,80.66,0.0,30.56,6.78,57.96,0,,,0,Tuesday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0714,34001.42,29094.76,35302.45,,,32528.737143,,,2033.385469,28.38,13.42,,NORMAL
2020-01-15,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68885,16858,0.8205,13831.0,692.0,14523.0,0.88,0.72,31734.68,1943.78,4649.94,41.8,0,26.9,22.18,30.6,81.71,0.0,29.66,7.56,64.56,0,,,0,Wednesday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0714,32694.81,34001.42,33723.51,31363.07,,32156.217143,32435.56,,1641.677898,27.33,0.0,,NORMAL
2020-01-16,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68886,16858,0.8205,13832.0,692.0,14524.0,0.88,0.72,32102.44,2031.45,4493.12,45.21,0,27.1,22.36,30.84,84.48,5.16,30.43,5.68,69.43,0,,,0,Thursday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0714,31734.68,32694.81,32343.28,32744.92,,31872.098571,32462.103571,,1490.350129,26.9,0.0,,NORMAL
2020-01-17,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68886,16859,0.8205,13833.0,692.0,14525.0,0.88,0.72,32463.77,1998.93,4520.46,44.22,0,27.08,22.36,30.79,85.09,14.58,30.43,12.26,50.61,0,,,0,Friday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0714,32102.44,31734.68,31744.81,33530.23,,31837.692857,32416.212143,,1480.406476,27.1,5.16,,NORMAL
2020-01-18,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68887,16859,0.8206,13834.0,692.0,14526.0,0.88,0.72,31791.48,1998.86,4526.13,44.16,0,27.65,22.59,31.62,81.84,5.78,31.48,8.73,58.55,0,,,1,Saturday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0715,32463.77,32102.44,31490.93,32687.0,,31940.401429,32340.036429,,1497.727279,27.08,14.58,,NORMAL
2020-01-19,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68888,16860,0.8206,13835.0,692.0,14527.0,0.88,0.72,29286.19,1785.74,4475.3,39.9,0,27.42,22.45,31.33,82.45,0.0,30.99,9.8,67.55,0,,,1,Sunday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0715,31791.48,32463.77,29094.76,29614.28,,31983.337143,32276.070714,,1486.963949,27.65,5.78,,NORMAL
2020-01-20,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68888,16860,0.8206,13836.0,692.0,14528.0,0.88,0.72,32153.05,2037.37,4627.77,44.02,0,26.57,22.04,30.13,82.71,0.0,27.01,6.1,69.93,0,,,0,Monday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0715,29286.19,31791.48,34001.42,33762.37,,32010.684286,32252.635714,,1425.474216,27.42,0.0,,NORMAL
2020-01-21,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68889,16860,0.8207,13836.0,692.0,14528.0,0.88,0.72,32454.66,2002.71,4492.79,44.58,0,27.17,22.46,30.88,83.93,16.15,30.55,8.87,59.88,0,,,0,Tuesday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0715,32153.05,29286.19,32694.81,35302.45,,31746.631429,32137.684286,,1137.323787,26.57,0.0,,NORMAL
2020-01-22,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68889,16860,0.8207,13837.0,692.0,14529.0,0.88,0.72,32476.13,2045.58,4453.6,45.93,0,27.2,22.42,30.95,80.76,3.68,30.26,10.43,77.96,0,,,0,Wednesday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0715,32454.66,32153.05,31734.68,33723.51,,31712.324286,31934.270714,,1107.177747,27.17,16.15,,NORMAL
2020-01-23,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68890,16861,0.8207,13838.0,692.0,14530.0,0.88,0.72,32172.55,2003.54,4399.0,45.55,0,26.96,22.29,30.63,78.76,2.87,29.54,10.07,78.0,0,,,0,Thursday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0715,32476.13,32454.66,32102.44,32343.28,,31818.245714,31845.172143,,1144.510035,27.2,3.68,,NORMAL
2020-01-24,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68891,16861,0.8208,13839.0,692.0,14531.0,0.88,0.72,32315.06,1963.02,4510.44,43.52,0,27.18,22.28,31.03,78.2,0.0,29.95,8.09,49.9,0,,,0,Friday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0716,32172.55,32476.13,32463.77,31744.81,,31828.261429,31832.977143,,1147.713833,26.96,2.87,,NORMAL
2020-01-25,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68891,16861,0.8208,13839.0,692.0,14531.0,0.88,0.72,30182.96,1827.51,4658.01,39.23,0,26.82,22.13,30.5,79.33,0.0,29.28,8.09,58.94,1,Chinese New Year,SPECIAL_NON_WORKING,1,Saturday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0715,32315.06,32172.55,31791.48,31490.93,,31807.017143,31873.709286,,1135.299133,27.18,0.0,,NORMAL
2020-01-26,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68892,16862,0.8208,13841.0,692.0,14533.0,0.88,0.72,29323.54,1805.43,4583.63,39.39,0,27.68,22.57,31.7,82.03,5.02,31.6,7.83,49.5,0,,,1,Sunday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0716,30182.96,32315.06,29286.19,29094.76,,31577.228571,31780.282857,,1291.067092,26.82,0.0,,NORMAL
2020-01-27,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68892,16862,0.8209,13841.0,692.0,14533.0,0.88,0.72,33688.49,2100.71,4592.21,45.75,0,28.81,23.1,33.31,83.08,0.0,34.88,8.88,52.48,0,,,0,Monday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0716,29323.54,30182.96,32153.05,34001.42,,31582.564286,31796.624286,,1280.050817,27.68,5.02,,NORMAL
2020-01-28,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68893,16862,0.8209,13842.0,692.0,14534.0,0.88,0.72,34895.31,2193.76,4496.66,48.79,0,29.05,23.27,33.59,80.99,0.0,35.09,10.76,72.82,0,,,0,Tuesday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0716,33688.49,29323.54,32454.66,32694.81,,31801.912857,31774.272143,,1505.758566,28.81,0.0,,NORMAL
2020-01-29,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68893,16863,0.8209,13843.0,692.0,14535.0,0.88,0.72,33528.24,2086.44,4460.81,46.77,0,28.02,22.8,32.12,83.15,4.57,32.64,4.62,71.37,0,,,0,Wednesday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0716,34895.31,33688.49,32476.13,31734.68,,32150.577143,31931.450714,,1910.319027,29.05,0.0,,NORMAL
2020-01-30,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68894,16863,0.821,13844.0,692.0,14536.0,0.88,0.72,33304.49,2066.57,4436.12,46.59,0,27.78,22.59,31.86,82.79,0.0,31.96,10.81,55.61,0,,,0,Thursday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0717,33528.24,34895.31,32172.55,32102.44,,32300.878571,32059.562143,,1980.309293,28.02,4.57,,NORMAL
2020-01-31,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68895,16863,0.821,13844.0,692.0,14536.0,0.88,0.72,33861.81,2137.74,4529.09,47.2,0,27.29,22.37,31.15,82.1,0.0,30.62,5.8,62.38,0,,,0,Friday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0717,33304.49,33528.24,32315.06,32463.77,31363.07,32462.584286,32145.422857,32265.696,2014.012408,27.78,0.0,4.946783,NORMAL
2020-02-01,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68895,16864,0.821,13846.0,692.0,14538.0,0.88,0.72,32390.83,2013.59,4347.42,46.32,0,27.7,22.47,31.82,80.47,0.0,31.44,8.56,72.16,0,,,1,Saturday,2,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0717,33861.81,33304.49,30182.96,31791.48,32744.92,32683.548571,32245.282857,32348.987333,2078.932761,27.29,0.0,0.129348,NORMAL
2020-02-02,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68896,16864,0.8211,13846.0,692.0,14538.0,0.88,0.72,29570.65,1832.35,4455.2,41.13,0,27.36,22.23,31.39,82.09,0.0,30.8,8.81,52.26,0,,,1,Sunday,2,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0717,32390.83,33861.81,29323.54,29286.19,33530.23,32998.958571,32288.093571,32337.184333,1782.700444,27.7,0.0,-8.555273,NORMAL
2020-02-03,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68896,16864,0.8211,13847.0,692.0,14539.0,0.88,0.72,32965.93,2038.97,4500.98,45.3,0,27.79,22.48,31.96,82.0,0.0,31.86,10.3,65.05,0,,,0,Monday,2,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0716,29570.65,32390.83,33688.49,32153.05,32687.0,33034.26,32308.412143,32205.198333,1698.234372,27.36,0.0,2.362139,NORMAL
2020-02-04,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68897,16865,0.8211,13848.0,692.0,14540.0,0.88,0.72,33421.75,2101.14,4570.69,45.97,0,28.66,22.82,33.26,79.47,0.0,33.72,7.85,38.75,0,,,0,Tuesday,2,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0717,32965.93,29570.65,34895.31,32454.66,29614.28,32931.037143,32366.475,32214.496,1673.622183,27.79,0.0,3.747549,NORMAL
2020-02-05,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68897,16865,0.8211,13849.0,692.0,14541.0,0.88,0.72,32675.43,2104.27,4551.93,46.23,0,28.18,22.69,32.5,77.58,5.3,32.17,8.79,55.4,0,,,0,Wednesday,2,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0717,33421.75,32965.93,33528.24,32476.13,33762.37,32720.528571,32435.552857,32341.411667,1465.054124,28.66,0.0,1.032788,NORMAL
2020-02-06,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68898,16865,0.8212,13849.0,692.0,14541.0,0.88,0.72,32212.46,1980.79,4558.37,43.45,0,27.72,22.47,31.84,80.56,3.16,31.48,10.43,66.23,0,,,0,Thursday,2,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0717,32675.43,33421.75,33304.49,32172.55,35302.45,32598.698571,32449.788571,32305.180333,1421.503887,28.18,5.3,-0.287014,NORMAL
2020-02-07,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68899,16866,0.8212,13851.0,693.0,14544.0,0.88,0.72,32300.88,2022.55,4690.9,43.12,0,27.32,22.25,31.31,79.07,2.57,30.37,11.01,53.67,0,,,0,Friday,2,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0718,32212.46,32675.43,33861.81,32315.06,33723.51,32442.694286,32452.639286,32202.180667,1390.726257,27.72,3.16,0.306499,NORMAL
2020-02-08,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68899,16866,0.8212,13851.0,693.0,14544.0,0.88,0.72,31252.7,1920.46,4635.0,41.43,0,27.27,22.47,31.05,83.06,25.01,30.7,9.71,65.49,0,,,1,Saturday,2,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0717,32300.88,32212.46,32390.83,30182.96,32343.28,32219.704286,32451.626429,32154.759667,1242.501994,27.32,2.57,-2.805369,NORMAL
2020-02-09,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68900,16866,0.8213,13852.0,693.0,14545.0,0.88,0.72,30363.57,1897.53,4621.05,41.06,0,28.3,22.76,32.65,80.82,7.17,32.99,11.07,53.13,0,,,1,Sunday,2,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0718,31252.7,32300.88,29570.65,29323.54,31744.81,32057.114286,32528.036429,32118.407,1289.937464,27.27,25.01,-5.463649,NORMAL
2020-02-10,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68900,16867,0.8213,13853.0,693.0,14546.0,0.88,0.72,34488.29,2156.96,4507.05,47.86,120,28.77,22.91,33.37,76.7,1.0,33.45,11.59,45.9,0,,,0,Monday,2,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0718,30363.57,31252.7,32965.93,33688.49,31490.93,32170.388571,32602.324286,32072.365667,1047.17096,28.3,7.17,7.532729,NORMAL
